Unnamed: 0,File,School,Field,Year,File_Path,Maori_words
64,validity_and_reliability_of_life_cycle_assessment_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\validity_and_reliability_of_life_cycle_assessment_2020.pdf,"moreira, kaikoura, eioa, mea, waikato, ture, mea, tatua"
65,virtual_and_augmented_reality_for_human_behaviour_in_disasters_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\virtual_and_augmented_reality_for_human_behaviour_in_disasters_2020.pdf,"nemoto, kitamura, kawai, iwaka, tanimura, ame, nakatani, aei, morimoto, inoue, huma, rahouti, rou"
66,analysis_of_the_stochastic_excursions_of_tumbling_apples_2021.pdf,SBE,Building_Technology,2021,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2021\analysis_of_the_stochastic_excursions_of_tumbling_apples_2021.pdf,"munera, retina"
67,case_studies_of_large_outdoor_fires_involving_evacuation_2021.pdf,SBE,Building_Technology,2021,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2021\case_studies_of_large_outdoor_fires_involving_evacuation_2021.pdf,"nia, wea, weerite, rino, nea, ino, eme, wea, humi, ea, ramona, roa, arango, haipo, ipa, meu, wikiu, ura, nima, ere, wui, ange, nume, wapa, nee, operati, ite, naramata, roa, pare, pio, rapi"
68,investigating_evacuation_behaviour_in_retirement_facilities_2021.pdf,SBE,Building_Technology,2021,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2021\investigating_evacuation_behaviour_in_retirement_facilities_2021.pdf,"reneke, rahouti"
69,investigating_exit_choice_in_built_environment_evacuation_combining_immersive_virtual_reality_and_discrete_choice_modelling_2021.pdf,SBE,Building_Technology,2021,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2021\investigating_exit_choice_in_built_environment_evacuation_combining_immersive_virtual_reality_and_discrete_choice_modelling_2021.pdf,"aei, aei, rahouti, ngene"
70,investigating_office_buildings_evacuations_using_unannounced_fire_drills_2021.pdf,SBE,Building_Technology,2021,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2021\investigating_office_buildings_evacuations_using_unannounced_fire_drills_2021.pdf,"tiwari, pineau, reneke, ahouti, ono, ame, huo, rahouti"
71,investigating_personalized_exit_choice_behavior_in_fire_accidents_using_the_hierarchical_bayes_estimator_of_the_random_coefficient_logit_model_2021.pdf,SBE,Building_Technology,2021,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2021\investigating_personalized_exit_choice_behavior_in_fire_accidents_using_the_hierarchical_bayes_estimator_of_the_random_coefficient_logit_model_2021.pdf,"ute, peeta, hetero"
72,prototyping_and_testing_a_virtual_reality_counterterrorism_serious_game_for_active_shooting_2021.pdf,SBE,Building_Technology,2021,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2021\prototyping_and_testing_a_virtual_reality_counterterrorism_serious_game_for_active_shooting_2021.pdf,"aei, etopio, oikonomou, kaimara, rahouti"
73,prototyping_and_validating_a_non_immersive_virtual_reality_serious_game_for_healthcare_fire_safety_training_2021.pdf,SBE,Building_Technology,2021,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2021\prototyping_and_validating_a_non_immersive_virtual_reality_serious_game_for_healthcare_fire_safety_training_2021.pdf,"inga, amato, ahouti, aei, animate, ingame, ea, rahouti"
74,simulating_metro_station_evacuation_using_three_agent_based_exit_choice_models_2021.pdf,SBE,Building_Technology,2021,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2021\simulating_metro_station_evacuation_using_three_agent_based_exit_choice_models_2021.pdf,"uri, hao, reneke, ame, automata, arai, keane"
75,the_response_of_sleeping_adults_to_smoke_alarm_signals_in_the_evacuation_decision_model_2021.pdf,SBE,Building_Technology,2021,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2021\the_response_of_sleeping_adults_to_smoke_alarm_signals_in_the_evacuation_decision_model_2021.pdf,"retana, awoke, reneke, nakano"
76,automation_in_fire_safety_engineering_using_bim_and_generative_design_2022.pdf,SBE,Building_Technology,2022,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2022\automation_in_fire_safety_engineering_using_bim_and_generative_design_2022.pdf,"miro, rahouti"
77,a_highway_vehicle_routing_dataset_during_the_2019_kincade_fire_evacuation_2022.pdf,SBE,Building_Technology,2022,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2022\a_highway_vehicle_routing_dataset_during_the_2019_kincade_fire_evacuation_2022.pdf,
78,a_non_immersive_virtual_reality_serious_game_application_for_flood_safety_training_2022.pdf,SBE,Building_Technology,2022,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2022\a_non_immersive_virtual_reality_serious_game_application_for_flood_safety_training_2022.pdf,"ope, romano, uniroma, aei, automata, wateri, rahouti"
79,a_pre_evacuation_study_using_data_from_evacuation_drills_and_false_alarm_evacuations_in_a_university_library_2022.pdf,SBE,Building_Technology,2022,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2022\a_pre_evacuation_study_using_data_from_evacuation_drills_and_false_alarm_evacuations_in_a_university_library_2022.pdf,"reneke, popu, rahouti, automati"
80,Behavioural_design_based_risk_assessment_and_mitigation_against_floods_in_historical_urban_built_environment_2022.pdf,SBE,Building_Technology,2022,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2022\Behavioural_design_based_risk_assessment_and_mitigation_against_floods_in_historical_urban_built_environment_2022.pdf,"pio, renato, romeu, eho, uniroma, ara, ieta, rui, romano, aei, maia, mora, nio, uare, nuno, moreira, enario, renata, mari, morena"
81,data_based_tools_can_prevent_crowd_crushes_2022.pdf,SBE,Building_Technology,2022,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2022\data_based_tools_can_prevent_crowd_crushes_2022.pdf,"wea, oamu, materia, mowi, ange, hea, orono, ure, iaona, hoto, noma, monito"
82,digital_technologies_and_data_driven_delay_management_process_for_construction_projects_2022.pdf,SBE,Building_Technology,2022,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2022\digital_technologies_and_data_driven_delay_management_process_for_construction_projects_2022.pdf,"pune, oraee, hao, engi, nahangi, amora, hou, aei, eto, rature, ooi, noti, uio, tii, moro"
